"dataset_code","time","geo","value","unit","obs_status","method"
"turnover_recorded_music",2014-01-01,"BE",117.6,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"BG",15.2,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2014-01-01,"CY",8.7,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"CZ",38.4,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"DE",2650.1,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"DK",50.7,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"EE",5.7,"EUR","E","approx"
"turnover_recorded_music",2014-01-01,"EL",63.7,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"ES",543.9,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"EU27_2020",6864.1,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"EU28",8429.8,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"FI",55.5,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"FR",1312.8,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"HR",32.5,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"HU",33.1,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2014-01-01,"IS",1.8,"EUR","E","nocb"
"turnover_recorded_music",2014-01-01,"IT",373,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"LT",7,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2014-01-01,"LV",8,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"MK",2.4,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"MT",1.6,"EUR","E","locf"
"turnover_recorded_music",2014-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2014-01-01,"NO",101.8,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"PL",195.5,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"PT",55.1,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"RO",72.7,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2014-01-01,"SE",362.7,"EUR","E","nocb"
"turnover_recorded_music",2014-01-01,"SI",28.1,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"SK",2.3,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"UK",1565.7,"EUR","A","A"
"turnover_recorded_music",2014-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2014-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2015-01-01,"AT",86.5,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"BA",5,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"BE",101.3,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"BG",15,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2015-01-01,"CY",9.8,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"CZ",42.5,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"DE",1069.8,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"DK",171.5,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"EE",6.2,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"EL",52.9,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"ES",610.7,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"EU27_2020",5315.9,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"EU28",6771.7,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"FI",42.3,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"FR",1265.1,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"HR",32.7,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"HU",31,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2015-01-01,"IS",1.8,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"IT",383,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"LT",7.1,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2015-01-01,"LV",7.8,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"MK",2.7,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"MT",1.6,"EUR","E","locf"
"turnover_recorded_music",2015-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2015-01-01,"NO",91.1,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"PL",197.9,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"PT",59.5,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"RO",72.3,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"RS",3.3,"EUR","E","nocb"
"turnover_recorded_music",2015-01-01,"SE",362.7,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"SI",28.7,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"SK",6.8,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"UK",1455.8,"EUR","A","A"
"turnover_recorded_music",2015-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2015-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2016-01-01,"AT",88.6,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"BA",8.2,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"BE",95.8,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"BG",13.9,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2016-01-01,"CY",10,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"CZ",42.1,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"DE",980.3,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"DK",55.4,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"EE",6.46666666666667,"EUR","E","approx"
"turnover_recorded_music",2016-01-01,"EL",56.6,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"ES",583.4,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"EU27_2020",5061.7,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"EU28",6174,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"FI",48.2,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"FR",1212.2,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"HR",27.9,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"HU",33.3,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2016-01-01,"IS",1.9,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"IT",400.6,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"LT",7.2,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2016-01-01,"LV",7.6,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"MK",2.8,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"MT",1.6,"EUR","E","locf"
"turnover_recorded_music",2016-01-01,"NL",NA,"EUR","O","O"
"turnover_recorded_music",2016-01-01,"NO",83.9,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"PL",191.2,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"PT",60.6,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"RO",73.7,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"RS",3.3,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"SE",362.7,"EUR","E","locf"
"turnover_recorded_music",2016-01-01,"SI",29.4,"EUR","E","approx"
"turnover_recorded_music",2016-01-01,"SK",13.6,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"UK",1112.4,"EUR","A","A"
"turnover_recorded_music",2016-01-01,"EU27_2007",8394.4,"EUR","E","locf"
"turnover_recorded_music",2016-01-01,"TR",50,"EUR","E","locf"
"turnover_recorded_music",2017-01-01,"AT",97.2,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"BA",6,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"BE",97.5,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"BG",13.6,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"CH",19.1,"EUR","E","locf"
"turnover_recorded_music",2017-01-01,"CY",10.3,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"CZ",25.6,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"DE",934.1,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"DK",61.2,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"EE",6.73333333333333,"EUR","E","approx"
"turnover_recorded_music",2017-01-01,"EL",61.7,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"ES",568.6,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"EU27_2020",5191.7,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"EU28",6127.7,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"FI",50.8,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"FR",1390.1,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"HR",29.5,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"HU",31.3,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"IE",NA,"EUR","O","O"
"turnover_recorded_music",2017-01-01,"IS",2.1,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"IT",408.7,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"LT",7.7,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"LU",NA,"EUR","O","O"
"turnover_recorded_music",2017-01-01,"LV",7.6,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"MK",2.3,"EUR","A","A"
"turnover_recorded_music",2017-01-01,"MT",1.6,"EUR","E","locf"
"turnover_recorded_music",2017-01-01,"NL",NA,"EUR","O","O"
