"dataset_code","time","geo","value","unit","obs_status","method","freq","group"
"ind_cloud_storage_files",2019-01-01,"DK",62,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2019-01-01,"EA",33,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2019-01-01,"EE",42,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2019-01-01,"EL",25,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"ES",42,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2019-01-01,"EU27_2020",32,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2019-01-01,"FI",43,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2019-01-01,"HR",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"HU",32,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2019-01-01,"IE",50,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2019-01-01,"IS",63,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2019-01-01,"IT",26,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2019-01-01,"LT",33,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2019-01-01,"LU",48,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2019-01-01,"LV",31,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2019-01-01,"ME",23,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"MK",27,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"MT",40,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2019-01-01,"NL",52,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2019-01-01,"NO",56,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2019-01-01,"PL",21,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2019-01-01,"PT",30,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2019-01-01,"RO",24,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"RS",19,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"SE",63,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2019-01-01,"SI",30,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2019-01-01,"SK",28,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2019-01-01,"SK",28,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"TR",19,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"UK",50,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2019-01-01,"XK",29,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"AL",14,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2019-01-01,"CH",46,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2019-01-01,"EU28",34,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2019-01-01,"FR",30,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2019-01-01,"EU15",34,"PC_IND","A","locf","A","aggregate"
"ind_cloud_storage_files",2019-01-01,"EU27_2007",31,"PC_IND","A","locf","A","aggregate"
"ind_cloud_storage_files",2020-01-01,"AT",33,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2020-01-01,"BA",12,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"BE",45,"PC_IND","A","A","A","Benelux"
"ind_cloud_storage_files",2020-01-01,"BG",24,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"CY",43,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2020-01-01,"CZ",28,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2020-01-01,"DE",35,"PC_IND","A","A","A","Central"
"ind_cloud_storage_files",2020-01-01,"DK",64,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2020-01-01,"EA",36,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2020-01-01,"EE",39,"PC_IND","A","A","A","Baltic"
"ind_cloud_storage_files",2020-01-01,"EL",26,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"ES",43,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2020-01-01,"EU27_2020",35,"PC_IND","A","A","A","aggregate"
"ind_cloud_storage_files",2020-01-01,"FI",49,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2020-01-01,"HR",29,"PC_IND","A","A","A","Southeast"
"ind_cloud_storage_files",2020-01-01,"HU",57,"PC_IND","A","A","A","Visegrad"
"ind_cloud_storage_files",2020-01-01,"IE",45,"PC_IND","A","A","A","West"
"ind_cloud_storage_files",2020-01-01,"IS",68,"PC_IND","A","A","A","Nordic"
"ind_cloud_storage_files",2020-01-01,"IT",32,"PC_IND","A","A","A","South"
"ind_cloud_storage_files",2020-01-01,"LT",34,"PC_IND","A","A","A","Baltic"
